,id,text,hashtags,ron,religion,social_spheres,sentiment
0,1536278561593495552,"@monkeflu @_cinst @SameeraKhan Uyghurs have high-quality education in China.  The higher the culture, the less interested in religion.  Uyghurs actually hate people like you.  The so-called anti-China Uyghurs are nothing more than a low-culture group who ran away when China was poor.",,,,,
1,1536278543679750150,https://t.co/HiVG6vrUfd True Religion TR4140 #women #sunglasses Black Rim https://t.co/60ygGLext2,women sunglasses,,,,
2,1536278541834235904,@SahilGondal4 @farhanshahzad34 @babarazam258 @iShaheenAfridi @TheRealPCB We never disrespected your religion we stated the Quran. It is your book that teaches those people who don't follow allah are Qafirs and must be persecuted. you talk about right to live go home kid its beyond your alphabets yet.,,,,,
3,1536278536327032832,"In times of crisis we often look to religion to give us meaning and motivation to continue living but because of the increasingly negative image western faith has shown we have chosen new false idols
Like a preteen dressed like a shark or a dragon lady with a robot voice",,,,,
4,1536278521147957249,"In Palestine Muslim in burma (  Myanmar) Muslim in Kashmir Muslim and also in India Muslim 
why All the world hit always muslim ☪️  why they don't accept the freedom of Islam and any other religion ?@IsraeliPM @narendramodi @PMOIndia @myogiadityanath @USArmy @UN @UNISPAL https://t.co/GKCMEeKpVb",,,,,
5,1536278476784812032,"@DahkDutch @I_yam_george @realnazzy2 @Elkrosmediahub Who is this one, who is fighting you? For your information I’m a kwanks and obi supporter and finally election in nigeria is via tribe and religion.",,,,,
6,1536278461957799936,"""Exposing the 'modern green religion'"" Published in the Catholic Standard https://t.co/CQ1C1LBWpd via @WattsUpWithThat",,,,,
7,1536278418601517058,"He yet insisted on religion as the crown of virtue; and, arguing that religion is inseparable from a high and holy enthusiasm for the divine plan of the universe, he sought the root of religion in feeling, not in accurate beliefs or meritorious good works. https://t.co/yCoWGrVb1q",,,,,
8,1536278415925723136,"For a long time,’ Nico said, ‘I h. If
؟?
سےفے نمشے
Talk to me about the truth of religion and I'll liste🐦
base ◥•ﻜٕوِبون• ﺧٕٓصٍمٍ•ﻜٕوِدٓ https://t.co/1yTb51iHMq",,,,,
9,1536278415069761536,I'm pretty sure &amp; confident that  Non-Muslims will burn in HELLFIRE if they don't change their beliefs and stay in the religion they have. I don't mean to convert them to Islam instead I ask them to please don't WORSHIP &amp; ASSOCIATE any MAN OR object with GOD.,,,,,
10,1536278405590548483,In truest Freedom of speech Liberty Nupur Sharma doesn't deserve any punishment. But then nobody deserves any punishment for hurting religious sentiments. Who says you can't abuse religion! We can mock and abuse this social construct.,,,,,
11,1536278395452936192,"1st Religion belongs in religious houses &amp; people's homes, not in public schools, funded by the taxpayer.
2nd You make the false assumption that all christians think the same or believe the same - they do not! 
3rd religions are the foundation of misogyny!
https://t.co/mDAwwJ5oIZ",,,,,
12,1536278381116805122,"@MJALSHRIKA So victim card in full swing, despite being perpetrators of crime 

Is respecting religion one sided affair?",,,,,
13,1536278378877054976,"@geertwilderspvv First deep dive and study about the religion you are blatantly speaking about.
Learn to respect people irrespective of your personal issues.",,,,,
14,1536278359365365760,@ashoswai I follow you because there are few people who speak against injustice and tolerance irrespective of religion and cast. And u r one of them.,,,,,
15,1536278337546440704,@StrangerThnRedz @KhaledBeydoun check 1951 census then speak. And as per 1941 census of undivided india total population was 39 crore and Muslims where 8.9 crore around 22.8 % therefore Hindu survived but Divided the nation in name of religion again in 21 century in name of religion India &amp; Hindus are target,,,,,
16,1536278335130841093,@mikey_mann @RainEden2 @TrevsDev @spunkyfuzzguts @johnpauldickson @JaneCaro Yes and if you want your child to have a religious education than send them to a religious school. The only way religion should be in school is as part of the history curriculum. The idea that SRE is held during schools hours is ridiculous.,,,,,
17,1536278333427793920,"See, you actually need to experience God personally tbh. Until u experience God, u will never understand Christianity &amp; will be swayed by any info or criticism u see out there. Do not practice religion, aim for a personal relationship with God &amp; the infilling of the Holy Spirit. https://t.co/TRyqOfMUUv",,,,,
18,1536278287651164160,@Amalk001 @Chethan01839705 @Nishant93184978 @Hs2837399Vishal @789789j @Prasann45962779 @group_mvm Just like your religious books have copied from every other religion doesn't mean everyone does this🤣🤣🤣,,,,,
19,1536278269313548290,"@Imudia_se2 Religion and tribe will play part in the north, Christians in north are with peter obi while kwakwazo and Atiku will divide votes in north",,,,,
20,1536278260207824897,"@adaralohun101 @AshakaSaleh 🤣🤣🤣🤣 Alot of us in the south are bigots, the vote from the west &amp; SS will double that of 2015... in the west its 50.50 Muslims Xtians &amp; both religion will vote for across the parties... its competence",,,,,
21,1536278253052121089,"https://t.co/PVZCEztTzP
Kindly have look by clicking on this link, freedom of speech vs Hate speech ( and violence in the name of Religion) https://t.co/vI39xq2Ni1",,,,,
22,1536278243053080576,"@CouncilOfChief @emmyrushyy He needs everyone vote all the tribes, christian's or muslim making it about religion and tribe won't get him no where",,,,,
23,1536278240959991808,@ChemistryWorld Leave religion to the church.,,,,,
24,1536278233867784192,@jihadwatchRS And yes #Islam is a religion of peace.,Islam,,,,
25,1536278227374772224,Androgenous twinks are my religion https://t.co/MXq3k94LKD,,,,,
26,1536278204234797056,"@shattawalegh Sometimes pple are blind by religion so they can't even see the Gods among the living, Shatta may your  reign be great, even the eagles get limit in the sky but you shall break that boundaries for a light place on the cities hill cannot be hidden.",,,,,
27,1536278190154391552,"@lindyli It's really the European pre-Christian barbarous and savage religion of Odin and Valhalla operating under the vestments of smorgasbord, for-profit-and-power Christianity.",,,,,
28,1536278175382110208,"@keesain99 Okhadh and thali hole..okhadh he who has no religion of his own except for promoting cooper hospital, copy and paste some fake rubbish poems, public who made him.. nalayak came to give gyan on nation okadh ..seriously #TOTALBOYCOTTBOLLYWOOD",TOTALBOYCOTTBOLLYWOOD,,,,
