,id,text,hashtags,ron,religion,social_spheres,sentiment
0,1534114142235217920,"Few countries which gave us gyan on india for religious tolerance, and their law.. 

All of them are declared Islamic Nations. 

Qatar
Religious Preaching by Non Islamic Religion is not allowed. Publication of Non islamic texts regulated.",,,,,
1,1534114129618739200,"Efforts to Polarize the people in the name of religion within nation is comple and now its time do the same at global level?

#ShameOnBJP
@KTRTRS",ShameOnBJP,,,,
2,1534114121863401472,Lectures about secularism from a state with Official State Religion. Next up. Driving Lessons by Savlon boi https://t.co/B6hwb9ORCF,,,,,
3,1534114115630907393,"@riden_biden @ChinChrists @da_bbSobes @Positively18st @elonmusk If religion gets replaced by something good, that would certainly work out. If it gets replaced by a victimization cult, outcomes will most certainly be bad, see Nazi Germany, Mao's China etc.",,,,,
4,1534114105950601216,"@Burkha_rubbish_ @IranIntl_En @BJP4India You can't respect Islam, leave to us. And you didn't just criticize BJP, you are questioning Muslims, we aren't telling you what you should be doing wrt to your religion. We will take care of ours.
BJP ko jitna bhi criticize karle ayega to Modi hi.",,,,,
5,1534114073499279360,"Whole world have been targeting to islaam but islaam is the world fastest growing religion
those are converting in islaam they knows the truth about islaam
 Every year more than 20,000 Americans converting in islaam #usreport https://t.co/F3XScMAU9s",usreport,,,,
6,1534114053362270209,"The best person for the job is the most important part (regardless of colour, race, religion, sex or gender) especially in a job that GCHQ does. https://t.co/DUVCgVUIg5",,,,,
7,1534114051676000256,"Hindus should learn to handle things cleverly. Being right is not enough if other person is not wise enough to understand what you say. If someone abuses hinduism, say ""stop abusing my religion"". Don't say ""what if I abuse your religion"".",,,,,
8,1534114035175632896,@KDSindhi For that they need to first assume that there are other Gods also other than Allah...then only they respect ur religion,,,,,
9,1534114010316038149,"@ItopaLucky @atiku Blind man, his business is 4 the rich eg his school. U people in the north will never learn ur mistake bcoz of foolishness &amp; religion.",,,,,
10,1534114001218637824,@Qdpaper2 This tribe and religion tolerance. ☮️ Is good,,,,,
11,1534113979601195008,If we take religion and politics and money out of every conversation…I’m sure everything would make so much more sense!,,,,,
12,1534113978938720256,"@SouthAsiaIndex A country which provided the safe haven to terrorists like Osama Bin Laden, Dawood Ibrahim, Maulana Masood etc. where Islam is held as a state religion and non muslim can never become the President (see Article 41 (2) of COP) mustn't lecture a secular country. https://t.co/zoEvArsNQJ",,,,,
13,1534113975448834049,We should respect every religion💫 https://t.co/wsU7U0XxLI,,,,,
14,1534113973846540288,@stepheniscowboy Yeah I do not respect religion as a concept enough to be convinced by this thread lol,,,,,
15,1534113970348773377,"Person Silence: In gameshow format, five amateur religion teachers provide patient commentary on news",,,,,
16,1534113969019191296,"its not all abt our religion, but its always abt God.",,,,,
17,1534113964191367168,"@MrCryptoSeb2 @MrsWormdog @graphic914 @laurenboebert Religion brings violence, death and intolerance, throughout history billions have been killed because someone said my god is better then your god.",,,,,
18,1534113942041149440,"Past baggage passion. Acceptance is religion, sectarianism is blasphemy. People can change yourself.
؟?
سےفے نمشے https://t.co/cQKXZTRrDy",,,,,
19,1534113940652924928,"""(...) destruction of buildings dedicated to religion, education, arts, science or charitable purposes &amp; historic monuments &amp; destruction and seizure (...) constitute war crimes in both international &amp; non-international armed conflicts.""
@BlueShield_Int
@UNESCO
#Yacoubiyeh https://t.co/Rlqae4se2b",Yacoubiyeh,,,,
20,1534113939105017857,"@freevoiceindian @i_mAfridi To jb apka kuran itni baatein khta h to fr most of the Muslim usse follow q nhi krte q dusre religion ki insult krte hai . 
I respect your religion but if u don't respect mine then how can u expect form us?",,,,,
21,1534113937242804224,"This is what the fearless @NupurSharmaBJP talked about.
They continue to demean Hindu religion and we remain mum to their nonsense remarks.
#Blasphemy is not only for #Islam
#IsupportNupurSharma #Hindus https://t.co/H53Ytw3wJT",Blasphemy Islam IsupportNupurSharma Hindus,,,,
22,1534113936559194115,"@iiGabriellei @FaZeVirus Nope he didn’t but my ALLAH did in Quran because you are filthy as shite who manipulate the laws of nature and biology. LGBTQ+ is a disease just like feminism. No religion or scientific book allow or approves these concepts, it’s just a product of useless minds and people.",,,,,
23,1534113933878906881,"@Tasvi6 Nothing like tht ..
Good n bad people r there in every religion..
The heads of bad ones manipulate the weaker section n spread hate against others 🤦‍♂️😐🙄",,,,,
24,1534113929718288385,"Dialectics as it stands right now,as ideology critique, is a complete waste of time and energy. Its fully integrated within the ouroboros logic of capital and its ideological crises cycle. You might as well pick up religion as a coping mechanism. We need new ways of questioning.",,,,,
25,1534113926308212736,"@AutumnAuton @drseid Just like every generation, as in every race, religion and profession there are good people and not so good people.  Unfortunately those that aren't are grouping people by race, religion or age instead of reality. Too bad for you",,,,,
26,1534113925977055232,"I was 21 in 1968, so I'm as much a child of the '60s as is possible to be. In those years the subject of religion had really almost disappeared the idea that religion was going to be a major force in the life of our societies, in the West anyway, would have seemed absurd in 1968. https://t.co/MAxcD6pG2p",,,,,
27,1534113920192872448,@Priya74663767 It is true. Religion must be taken for bonding of people not for Hate,,,,,
28,1534113912202854401,"Tocando agora na KRFM: Shattered Faith, de Bad Religion",,,,,
29,1534113909950521346,"""Rule 40. Respect for Cultural Property
A. All seizure of or destruction or wilful damage done to institutions dedicated to religion, charity, education, the arts and sciences, historic monuments and works of art and science is prohibited.""
@BlueShield_Int
@UNESCO
#Yacoubiyeh https://t.co/OOj5Tso7GK",Yacoubiyeh,,,,
30,1534113909510180864,"The problem is not who will be leading us in 2023,power must not get back to the north. Nigeria is a multi-religion country &amp; ethnicity independent nation. Nobody owns Nigeria nor region. Implement no PVC no pay. If we could won #EndSARS. Then we can all bring @PeterObi to power.",EndSARS,,,,
31,1534113903323627521,@narendramodi Don't expect us hibdus to gives u vote again. This is beyond our tolerance and what your party did with nupur Sharma is truly disappointing. I was your admire once but now I condemned your silence against our religion. It's unacceptable.,,,,,
32,1534113886357848064,"@MITHZNAIR1 @Chatte4Surojeet @shambhav15 The Hindu scriptures bhavashiya Purana command that when the Muslims come to India adopt their religion. 

Allah says in the Glorious Quran that to every nation and tribe Allah send revelations time to time in their languages before finalising to Quran",,,,,
33,1534113878216351745,"Where do these Muslim countries live when someone comments on Hindu religion, this OIC is only for their own benefit
if this is only for the benefit of Muslims, then why not keep Rohingyas Muslims in their countries?
#CommunalThinkingOf_OIC

https://t.co/Hs7ldOihvh",CommunalThinkingOf_OIC,,,,
34,1534113865155219456,"@sarcastic_aloo @freemonotheist Wow i don't agree with you freedive thinking, im enough with my religion and im proud of it, not like yours surely",,,,,
35,1534113846893621249,"@ParuChirps @UshaNirmala This Islamist(@_sabanaqvi) is asking us to restrain this matter. They are not aware that they themselves have opened Pandora's Box on their religion and prophet. Now, almost all educated people in the world know about his truth. Baat nikli hai to dur tak jayegi....",,,,,
36,1534113846096543746,"Men and women oppressed because of race or creed, religion or gender.
We ask for minds and hearts that are open to hearing the voice of leaders who will bring us closer to your Kingdom.
We pray for discernment
so that we may choose leaders who hear your Word,
live your love,",,,,,
37,1534113842594140160,@BattaKashmiri This hungama will end up in bringing another law to tie the hands of terrorists religion people# Everyday 5times they abuse Hindus in loudspeakers# how dare they to do this here in this Hindus land hmm??✍️✍️✍️,,,,,
38,1534113827314315265,"@JonDBrien1 We are a secular nation with freedom of, and from, religion. Your God is your belief. Keep that out of government.",,,,,
39,1534113808066682881,"Yet, they tell us we need more religion/more prayer.

 https://t.co/uElbllEqLR",,,,,
40,1534113791885320192,@tatvamasi0 It is real religion,,,,,
41,1534113791176110080,@ashoswai Why you only worried about Muslim right and not other religion!! This shows your double standard mentality,,,,,
42,1534113783462993922,"@RuprechtXavier @PrisonPlanet It’s militant religion of sorts, and they believe they are in their version of a Holy War. Basically detached from reality.",,,,,
43,1534113761170030593,Property; Australia's largest religion.,,,,,
44,1534113756581535744,"Jo #NupurSharma Ne Kiya, Agar Wahi Kisi Muslim Ne Kiya Hota, Toh Usko lifetime Jail Hoti, Ghar Par bulldozer Chalta. Law should be same for every citizen of India irrespective of name, religion, caste and post.#NupurSharma#",NupurSharma,,,,
45,1534113743390515200,"Quitted religion worldly awareness. True awareness does not exist yet.
؟?
سےفے نمشے https://t.co/wWqa12UstG",,,,,
46,1534113735735857152,@RTuverson Yve ain’t that great either. She has done nothing to educate herself about the Muslim religion. Men and women pray separately at a mosque? Who knew?,,,,,
47,1534113728165462017,"@_sabanaqvi We need to bring in strong Blasphemy laws in India . Ony that will put an end to Bollywood, Stand Up Comedians , Journalists from mocking any https://t.co/EKybVoi8R9 on",,,,,
48,1534113719000522752,@Ayesha0786786 Assalamualaikum allhuakbar Islam religion zindabad Bharat zindabaad regards thanks 💯 please RSS group agent and bjp crimers group agent and bd.vhp.devil meantality disturbed crimers group agent please LISTEN HOLLY QUR'AN with translation and Hadith listen on YouTube with thanks,,,,,
49,1534113712218312704,@madan3 Interestingly there are many countries who can charge India. But India is the only country to fight against any other countries for Indian religion.,,,,,
50,1534113708578058240,"@SCROTUSinChief @Resilient_Futur It's not a religion or a god's request.
I just want you to know the truth. I want you to realize that your freedom and your future are being taken away. Everything you've done comes back to you. We are all alive on this earth.
I want to live in the future.
https://t.co/wiguBATAv7",,,,,
51,1534113690223579138,"@AbidemiBlognese @If3ktiv @gbedemukee @YahuzaAmadu @_Melody01_ Your screen shot did not show that Muslim are the mostly persecuted religion and there was never a time western Europe was predominantly Muslim that's a big lie, History will show you otherwise, Islam started in the middle East after 600years of Christianity.",,,,,
52,1534113665691303936,"@Resilient_Futur @RobertShippey It's not a religion or a god's request.
I just want you to know the truth. I want you to realize that your freedom and your future are being taken away. Everything you've done comes back to you. We are all alive on this earth.
I want to live in the future.
https://t.co/wiguBATAv7",,,,,
53,1534113665414475781,Only religion matters to them. https://t.co/tvZ0LR9enJ,,,,,
54,1534113652814618624,"@DavidEccentric I leave you in peace bro, I didn't mention either of these thing how did you manipulate this conversation into tribe and religion?",,,,,
55,1534113625689968640,@Qdpaper2 This is how I see religion while growing up. Nothing as good as being liberal and tolerance towards each other.,,,,,
56,1534113621860655105,@BuffBunnyMika Oh look my new religion,,,,,
57,1534113584850079745,"Islam is a religion of unity
#BoycottIndia
#BoikotIndia https://t.co/Eigd0iPse8",BoycottIndia BoikotIndia,,,,
58,1534113577568817155,"@DrTahir1011 @keshavk072 @2Todkar @OIC_OCI @NupurSharmaBJP See I do respect all religion not only Islam. But the thing is leave this topic, Pakistan hasn't been able to come out of religious stuff which has led to under development. I have seen Pakistani leaders commenting about Kashmir always when they need public sympathy.",,,,,
